"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U3";"SOIC-8_3.9x4.9mm_P1.27mm";1;"SN65HVD230";;;
2;"LED2";"LED_0805_2012Metric";1;"Red";;;
3;"U2";"SOIC-18W_7.5x11.6mm_P1.27mm";1;"MCP2515";;;
4;"J2";"PinHeader_2x08_P2.54mm_Vertical";1;"OBD-II";;;
5;"U1";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
6;"LED3";"LED_0805_2012Metric";1;"Yellow";;;
7;"J3";"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal";1;"CAN_Term";;;
8;"LED1";"LED_0805_2012Metric";1;"Green";;;
9;"Y1";"Crystal_HC49-4H_Vertical";1;"16MHz";;;
10;"J1";"PinHeader_2x20_P2.54mm_Vertical";1;"Raspberry_Pi_GPIO";;;
11;"C6,C5";"C_0805_2012Metric";2;"22pF";;;
12;"R2";"R_0805_2012Metric";1;"10k";;;
13;"C4";"C_1206_3216Metric";1;"22uF";;;
14;"C8,C11,C10";"C_0805_2012Metric";3;"2.2uF";;;
15;"L1,L2";"L_0805_2012Metric";2;"Ferrite";;;
16;"C9,C7";"C_0805_2012Metric";2;"1uF";;;
17;"R3,R6";"R_0805_2012Metric";2;"470";;;
18;"C1";"C_0805_2012Metric";1;"100nF";;;
19;"C3";"C_1206_3216Metric";1;"10uF";;;
